LeftSpeed,RightSpeed,FrontRight,FrontLeft,SideLeft,SideRight
0.0,0.0,63.661986392768526,68.31835944115898,138.32571438795145,69.72902373751984
0.0,0.0,61.33395877391072,69.98390175304829,148.92352495254434,66.76852741590989
0.0,0.0,67.79212422639874,70.27284207699638,149.29428491348236,68.71471178911493
0.0,0.0,65.12323371561816,67.0684301241127,146.69821417091123,70.23625733432512
0.0,0.0,69.65102445933502,66.81719804950698,135.4030540364416,66.59716278911816
0.0,0.0,67.91515692747836,65.04791981242943,139.99331938347646,69.74630043932844
0.0,0.0,62.822918280007435,67.4289619275618,138.7722641195708,67.04181261225409
0.0,0.0,64.47864997406009,70.8050159716955,143.67661411721073,63.38677652571192
0.0,0.0,72.76020843703861,66.48059923421282,137.23341650967888,68.85290062479334
0.0,0.0,66.5327113795977,64.9405119371097,153.69903286932964,64.20646442918029
0.0,0.0,66.83767316804558,68.63013710310624,127.85287816619395,60.77796243616181
0.0,0.0,58.89512668185592,59.88680879021298,148.1759152504406,69.27001688675018
0.0,0.0,67.05578931199047,65.89048608150355,149.3598721282583,72.75844863056024
0.0,0.0,61.55329742905028,64.9923054327153,142.92325868592093,67.64144326000265
0.0,0.0,71.16212433205023,66.32599338023135,142.29245223572428,66.8273302930709
0.0,0.0,65.57367933306284,72.53495022642717,138.9172416132325,54.66788724248961
0.0,0.0,70.14256897284444,69.8331272980764,133.4414377291773,69.06712798467719
0.0,0.0,65.33383297651572,68.78820378143172,148.65385739933942,64.64161959475977
0.0,0.0,63.284387955928416,68.4568694730388,152.39102243951353,63.42266960946911
0.0,0.0,66.61464121437402,63.746205481911275,143.51900810354456,70.78224464206129
0.0,0.0,68.09786643640629,65.876334691924,145.79151128131224,69.4194044118152
0.0,0.0,73.48717565907434,66.56417159222529,140.99529011506084,65.62216648323336
0.0,0.0,68.15500764082111,64.81628776062458,131.91551913827917,66.60973873555463
0.0,0.0,67.73475469462775,73.45421843247843,141.96911442879477,66.99590158750681
0.0,0.0,66.61884897556057,61.45962502793987,134.64492056327109,68.6791909262602
0.0,0.0,67.8788553899973,68.48916154555997,142.65255886034558,72.35805931929366
0.0,0.0,69.8089163927495,71.23676795223558,140.34310888280118,65.16600472560347
0.0,0.0,65.37089541997756,69.76329198996213,147.33513191132778,70.9666572520742
0.0,0.0,67.51036077066911,62.06946648486711,145.1994025900515,67.67297929552656
0.0,0.0,66.30708791724884,65.36160816712817,148.20575848786729,68.28440776068838
0.0,0.0,72.05570758177198,63.063389288891486,141.97881449748027,73.65669671443409
0.0,0.0,63.23479131612567,63.58387453688988,142.72987767328678,62.727858419068184
0.0,0.0,61.20973534693474,67.37587211248999,145.2651343792386,66.10801796624938
0.0,0.0,65.98725132236257,67.34719874909506,147.50135283693302,69.81161686957132
0.0,0.0,62.09980496563806,62.7770968956903,137.32182207418649,67.02902438839966
0.0,0.0,67.2133859354629,67.00608341256661,143.15384015626148,69.30811227741329
0.0,0.0,67.68560293462238,68.93266534337046,143.20445820897172,68.84568910579472
0.0,0.0,60.30423657014282,64.65618201947163,140.49578764969806,66.03006092252974
0.0,0.0,63.67526268489749,69.24433567175825,139.99658152523776,66.65255882211127
0.0,0.0,65.75628917288054,70.41759489663002,141.61569269191395,69.95946624903753
0.0,0.0,67.98643925551187,62.22424815227174,135.70732015889078,72.49250264138178
0.0,0.0,69.92697390725652,65.15718145869552,137.97007570582264,57.99336251098871
0.0,0.0,67.5216815757565,67.16666388645595,143.31157450490727,63.6217357561494
